DEBUG [2018/09/26 09:45:15,992] main BeanDefinitionParserDelegate.parseBeanDefinitionElement(line:500): Neither XML 'id' nor 'name' specified - using generated bean name [org.mybatis.spring.mapper.MapperScannerConfigurer#0]
DEBUG [2018/09/26 09:45:15,993] main XmlBeanDefinitionReader.loadBeanDefinitions(line:216): Loaded 10 bean definitions from location pattern [classpath*:applicationContext-dao.xml]
DEBUG [2018/09/26 09:45:15,993] main DefaultBeanDefinitionDocumentReader.importBeanDefinitionResource(line:252): Imported 10 bean definitions from URL location [classpath*:applicationContext-dao.xml]
 INFO [2018/09/26 09:45:15,995] main XmlBeanDefinitionReader.loadBeanDefinitions(line:315): Loading XML bean definitions from URL [jar:file:/C:/Users/hongming/.m2/repository/com/education/gkzx/gkzx-biz/1.0-SNAPSHOT/gkzx-biz-1.0-SNAPSHOT.jar!/applicationContext-biz.xml]
DEBUG [2018/09/26 09:45:15,997] main DefaultDocumentLoader.loadDocument(line:72): Using JAXP provider [com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl]
DEBUG [2018/09/26 09:45:16,002] main PluggableSchemaResolver.resolveEntity(line:118): Found XML schema [http://www.springframework.org/schema/beans/spring-beans.xsd] in classpath: org/springframework/beans/factory/xml/spring-beans-3.2.xsd
DEBUG [2018/09/26 09:45:16,042] main PluggableSchemaResolver.resolveEntity(line:118): Found XML schema [http://www.springframework.org/schema/context/spring-context.xsd] in classpath: org/springframework/context/config/spring-context-3.2.xsd
DEBUG [2018/09/26 09:45:16,046] main PluggableSchemaResolver.resolveEntity(line:118): Found XML schema [http://www.springframework.org/schema/tool/spring-tool-3.2.xsd] in classpath: org/springframework/beans/factory/xml/spring-tool-3.2.xsd
DEBUG [2018/09/26 09:45:16,049] main DefaultBeanDefinitionDocumentReader.registerBeanDefinitions(line:106): Loading bean definitions
DEBUG [2018/09/26 09:45:16,068] main StandardEnvironment.addLast(line:107): Adding [systemProperties] PropertySource with lowest search precedence
DEBUG [2018/09/26 09:45:16,069] main StandardEnvironment.addLast(line:107): Adding [systemEnvironment] PropertySource with lowest search precedence
DEBUG [2018/09/26 09:45:16,069] main StandardEnvironment.<init>(line:126): Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment]
DEBUG [2018/09/26 09:45:16,076] main PathMatchingResourcePatternResolver.findPathMatchingResources(line:354): Resolved location pattern [classpath*:com/education/gkzx/biz/**/*.class] to resources []
DEBUG [2018/09/26 09:45:16,077] main XmlBeanDefinitionReader.loadBeanDefinitions(line:216): Loaded 4 bean definitions from location pattern [classpath*:applicationContext-biz.xml]
DEBUG [2018/09/26 09:45:16,078] main DefaultBeanDefinitionDocumentReader.importBeanDefinitionResource(line:252): Imported 4 bean definitions from URL location [classpath*:applicationContext-biz.xml]
DEBUG [2018/09/26 09:45:16,079] main XmlBeanDefinitionReader.loadBeanDefinitions(line:216): Loaded 0 bean definitions from location pattern [classpath*:applicationContext-consumer.xml]
DEBUG [2018/09/26 09:45:16,079] main DefaultBeanDefinitionDocumentReader.importBeanDefinitionResource(line:252): Imported 0 bean definitions from URL location [classpath*:applicationContext-consumer.xml]
DEBUG [2018/09/26 09:45:16,079] main XmlBeanDefinitionReader.loadBeanDefinitions(line:216): Loaded 14 bean definitions from location pattern [classpath:application-context.xml]
DEBUG [2018/09/26 09:45:16,080] main XmlWebApplicationContext.obtainFreshBeanFactory(line:540): Bean factory for Root WebApplicationContext: org.springframework.beans.factory.support.DefaultListableBeanFactory@68e62ca4: defining beans [dataSource,sqlSessionFactory,sqlSession,jdbTransactionManager,transactionTemplate,org.springframework.aop.config.internalAutoProxyCreator,org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0,org.springframework.transaction.interceptor.TransactionInterceptor#0,org.springframework.transaction.config.internalTransactionAdvisor,org.mybatis.spring.mapper.MapperScannerConfigurer#0,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor]; root of factory hierarchy
DEBUG [2018/09/26 09:45:16,108] main DefaultListableBeanFactory.getSingleton(line:215): Creating shared instance of singleton bean 'org.mybatis.spring.mapper.MapperScannerConfigurer#0'
DEBUG [2018/09/26 09:45:16,108] main DefaultListableBeanFactory.createBean(line:432): Creating instance of bean 'org.mybatis.spring.mapper.MapperScannerConfigurer#0'
DEBUG [2018/09/26 09:45:16,120] main DefaultListableBeanFactory.doCreateBean(line:506): Eagerly caching bean 'org.mybatis.spring.mapper.MapperScannerConfigurer#0' to allow for resolving potential circular references
DEBUG [2018/09/26 09:45:16,147] main DefaultListableBeanFactory.invokeInitMethods(line:1555): Invoking afterPropertiesSet() on bean with name 'org.mybatis.spring.mapper.MapperScannerConfigurer#0'
DEBUG [2018/09/26 09:45:16,149] main DefaultListableBeanFactory.createBean(line:460): Finished creating instance of bean 'org.mybatis.spring.mapper.MapperScannerConfigurer#0'
DEBUG [2018/09/26 09:45:16,149] main DefaultListableBeanFactory.getSingleton(line:215): Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
DEBUG [2018/09/26 09:45:16,150] main DefaultListableBeanFactory.createBean(line:432): Creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
DEBUG [2018/09/26 09:45:16,152] main DefaultListableBeanFactory.doCreateBean(line:506): Eagerly caching bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor' to allow for resolving potential circular references
DEBUG [2018/09/26 09:45:16,152] main DefaultListableBeanFactory.createBean(line:460): Finished creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
DEBUG [2018/09/26 09:45:16,201] main StandardEnvironment.addLast(line:107): Adding [systemProperties] PropertySource with lowest search precedence
DEBUG [2018/09/26 09:45:16,201] main StandardEnvironment.addLast(line:107): Adding [systemEnvironment] PropertySource with lowest search precedence
DEBUG [2018/09/26 09:45:16,201] main StandardEnvironment.<init>(line:126): Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment]
DEBUG [2018/09/26 09:45:16,204] main PathMatchingResourcePatternResolver.findPathMatchingResources(line:354): Resolved location pattern [classpath*:com/education/gkzx/dao/mapper/**/*.class] to resources []
 WARN [2018/09/26 09:45:16,205] main ClassPathMapperScanner.doScan(line:167): No MyBatis mapper was found in '[com.education.gkzx.dao.mapper]' package. Please check your configuration.
DEBUG [2018/09/26 09:45:16,208] main DefaultListableBeanFactory.getSingleton(line:215): Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
DEBUG [2018/09/26 09:45:16,208] main DefaultListableBeanFactory.createBean(line:432): Creating instance of bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
DEBUG [2018/09/26 09:45:16,210] main DefaultListableBeanFactory.doCreateBean(line:506): Eagerly caching bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor' to allow for resolving potential circular references
DEBUG [2018/09/26 09:45:16,210] main DefaultListableBeanFactory.createBean(line:460): Finished creating instance of bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
DEBUG [2018/09/26 09:45:16,211] main DefaultListableBeanFactory.getSingleton(line:215): Creating shared instance of singleton bean 'org.springframework.context.annotation.internalRequiredAnnotationProcessor'
DEBUG [2018/09/26 09:45:16,211] main DefaultListableBeanFactory.createBean(line:432): Creating instance of bean 'org.springframework.context.annotation.internalRequiredAnnotationProcessor'
DEBUG [2018/09/26 09:45:16,212] main DefaultListableBeanFactory.doCreateBean(line:506): Eagerly caching bean 'org.springframework.context.annotation.internalRequiredAnnotationProcessor' to allow for resolving potential circular references
DEBUG [2018/09/26 09:45:16,212] main DefaultListableBeanFactory.createBean(line:460): Finished creating instance of bean 'org.springframework.context.annotation.internalRequiredAnnotationProcessor'
DEBUG [2018/09/26 09:45:16,212] main DefaultListableBeanFactory.getSingleton(line:215): Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
DEBUG [2018/09/26 09:45:16,213] main DefaultListableBeanFactory.createBean(line:432): Creating instance of bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
DEBUG [2018/09/26 09:45:16,216] main DefaultListableBeanFactory.doCreateBean(line:506): Eagerly caching bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor' to allow for resolving potential circular references
DEBUG [2018/09/26 09:45:16,217] main DefaultListableBeanFactory.createBean(line:460): Finished creating instance of bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
DEBUG [2018/09/26 09:45:16,217] main DefaultListableBeanFactory.getSingleton(line:215): Creating shared instance of singleton bean 'org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor'
DEBUG [2018/09/26 09:45:16,218] main DefaultListableBeanFactory.createBean(line:432): Creating instance of bean 'org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor'
DEBUG [2018/09/26 09:45:16,218] main DefaultListableBeanFactory.doCreateBean(line:506): Eagerly caching bean 'org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor' to allow for resolving potential circular references
DEBUG [2018/09/26 09:45:16,218] main DefaultListableBeanFactory.createBean(line:460): Finished creating instance of bean 'org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor'
DEBUG [2018/09/26 09:45:16,219] main DefaultListableBeanFactory.getSingleton(line:215): Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
